age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,sport_frequency,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,art_digital_traditional,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,acad_reading_habit,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,analy_patience_level,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_sleep_quality,category,hobby
17,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,Low,Structured,Traditional,No,None,None,None,None,None,None,Yes,Coding,Low,No,Alone,Yes,Low,Other,High,Yes,Swimming,High,Good,Arts,Drawing
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Yoga,Medium,Average,Health,Yoga
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Group,Yes,No,No,None,None,None,None,None,None,Asthma,Low,Yes,Yoga,High,Average,Academics,Math Olympiad
11,Yes,outdoor,Other,Low,Team,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,Low,Poor,Sports,Cricket
17,Yes,outdoor,Other,High,Individual,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Other,High,Average,Sports,Cricket
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Low,Yes,Alone,No,High,None,High,No,Gymnastics,Low,Poor,Analytical,Coding
11,No,None,None,None,None,None,None,Yes,Other,High,Yes,Medium,Structured,Both,No,None,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,No,High,Other,Medium,Yes,Running,High,Good,Arts,Drawing
9,No,None,None,None,None,None,None,Yes,Dance,Medium,Yes,Medium,Free,Digital,No,None,None,None,None,None,None,Yes,Coding,High,Yes,With others,Yes,Low,None,Low,Yes,Meditation,Medium,Poor,Analytical,Coding
7,Yes,indoor,Carrom,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,Medium,No,With others,No,Low,Joint Pain,Medium,Yes,Yoga,Low,Good,Sports,Carrom
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,Yes,No,No,None,None,None,None,None,None,Other,Medium,Yes,Running,Low,Average,Academics,Creative Writing
6,Yes,both,Badminton,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,Medium,Poor,Sports,Badminton
17,No,None,None,None,None,None,None,Yes,Dance,Low,Yes,High,Structured,Digital,Yes,Language,Yes,No,Individual,No,No,No,None,None,None,None,None,None,Joint Pain,High,Yes,Yoga,Low,Good,Arts,Dance
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Group,No,Yes,No,None,None,None,None,None,None,None,High,No,Other,Low,Good,Academics,Math Olympiad
6,No,None,None,None,None,None,None,Yes,Other,High,No,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,Medium,Average,Arts,Drawing
17,No,None,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Running,Medium,Good,Arts,Dance
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Individual,No,Yes,Yes,Coding,Low,No,Alone,No,Low,None,High,Yes,Gymnastics,Low,Average,Academics,Math Olympiad
15,Yes,outdoor,Swimming,High,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,No,Meditation,Low,Average,Sports,Swimming
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,Yes,Yes,Yes,Robotics,Low,No,Alone,No,Medium,None,Low,No,Gymnastics,Low,Poor,Academics,Math Olympiad
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Low,No,Swimming,Low,Poor,Academics,Creative Writing
13,No,None,None,None,None,None,None,Yes,Drawing,High,No,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,High,Good,Arts,Drawing
10,Yes,outdoor,Football,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,Medium,Poor,Sports,Football
7,Yes,indoor,Chess,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,Medium,Good,Sports,Chess
11,Yes,both,Other,Medium,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,Medium,Poor,Sports,Cricket
7,Yes,indoor,Badminton,High,Team,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Meditation,Low,Poor,Sports,Badminton
14,Yes,both,Swimming,Low,Team,Medium,3-4 days,Yes,Dance,Low,Yes,Low,Free,Both,Yes,Science,No,Yes,Group,No,Yes,Yes,Other,Low,No,Alone,No,Medium,None,Medium,Yes,Running,Low,Average,Academics,Science Club
10,No,None,None,None,None,None,None,Yes,Drawing,Medium,Yes,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Meditation,Low,Poor,Arts,Drawing
8,Yes,both,Swimming,Medium,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Medium,Poor,Sports,Swimming
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,Medium,Yes,Alone,Yes,Medium,None,Medium,No,Meditation,High,Average,Analytical,Chess
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,With others,Yes,Medium,None,High,No,Meditation,High,Poor,Analytical,Coding
15,No,None,None,None,None,None,None,Yes,Drawing,Medium,No,High,Structured,Digital,Yes,Language,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Asthma,Medium,No,Meditation,Low,Average,Academics,Creative Writing
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Yoga,Medium,Good,Health,Yoga
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Low,No,Yoga,Medium,Average,Academics,Math Olympiad
7,No,None,None,None,None,None,None,Yes,Other,Low,Yes,High,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Yoga,Low,Average,Arts,Drawing
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,High,Yes,Alone,Yes,High,Other,Low,No,Swimming,High,Poor,Analytical,Robotics
9,Yes,indoor,Swimming,Medium,Team,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,Yes,Meditation,Medium,Average,Health,Meditation
6,Yes,outdoor,Cricket,Low,Individual,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Other,Medium,Good,Sports,Cricket
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Swimming,High,Good,Health,Swimming
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Low,Yes,Alone,Yes,High,None,Low,Yes,Running,Low,Poor,Analytical,Coding
7,Yes,indoor,Carrom,Medium,Team,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,Alone,No,Low,None,High,Yes,Other,Low,Average,Analytical,Coding
5,No,None,None,None,None,None,None,Yes,Dance,High,No,Medium,Free,Traditional,No,None,None,None,None,None,None,Yes,Puzzles,Medium,No,With others,No,Low,None,Low,Yes,Running,Low,Average,Arts,Dance
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Yoga,High,Good,Health,Yoga
13,Yes,indoor,Other,Medium,Team,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Science,No,Yes,Individual,Yes,Yes,Yes,Robotics,Low,Yes,Alone,No,Low,None,High,Yes,Running,High,Average,Academics,Science Club
15,Yes,indoor,Table Tennis,Low,Team,High,1-2 days,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,Yes,No,No,None,None,None,None,None,None,Joint Pain,Low,Yes,Other,Low,Average,Academics,Creative Writing
12,Yes,indoor,Table Tennis,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,Low,Yes,With others,No,Low,None,High,Yes,Swimming,High,Poor,Sports,Table Tennis
10,No,None,None,None,None,None,None,Yes,Drawing,Medium,Yes,Medium,Structured,Digital,Yes,Language,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,Asthma,Medium,Yes,Swimming,Low,Good,Academics,Creative Writing
12,Yes,outdoor,Cricket,Medium,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Meditation,Medium,Good,Sports,Cricket
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,Yes,No,No,None,None,None,None,None,None,None,Medium,Yes,Gymnastics,High,Average,Academics,Science Club
17,No,None,None,None,None,None,None,Yes,Drawing,High,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Yoga,High,Poor,Arts,Drawing
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,No,Individual,Yes,No,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Low,Poor,Academics,Science Club
13,Yes,both,Cricket,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,High,Average,Sports,Cricket
11,Yes,indoor,Swimming,High,Team,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Meditation,Low,Poor,Sports,Swimming
8,No,None,None,None,None,None,None,Yes,Dance,High,Yes,Medium,Structured,Traditional,Yes,Math,No,No,Individual,No,No,No,None,None,None,None,None,None,None,Medium,Yes,Running,Medium,Poor,Arts,Dance
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,High,No,Alone,Yes,Medium,None,Medium,No,Other,High,Good,Analytical,Robotics
12,No,None,None,None,None,None,None,Yes,Other,Low,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,High,Average,Arts,Drawing
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,High,No,With others,No,High,Other,Medium,No,Meditation,High,Poor,Analytical,Coding
17,Yes,indoor,Table Tennis,Medium,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Other,Low,Poor,Sports,Table Tennis
14,Yes,indoor,Badminton,Low,Team,Low,1-2 days,Yes,Music,Low,No,Low,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,No,Swimming,Medium,Good,Sports,Badminton
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,None,High,No,Gymnastics,Low,Good,Academics,Science Club
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,Yes,Group,Yes,No,No,None,None,None,None,None,None,None,High,No,Meditation,Medium,Good,Academics,Science Club
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,High,Yes,Yoga,Medium,Good,Academics,Math Olympiad
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,With others,No,High,None,Medium,Yes,Swimming,High,Average,Analytical,Robotics
16,Yes,outdoor,Swimming,Low,Individual,Medium,1-2 days,Yes,Other,High,No,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Meditation,High,Average,Arts,Drawing
6,Yes,outdoor,Swimming,Medium,Team,Low,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,No,With others,No,Low,Asthma,Low,No,Swimming,Low,Average,Sports,Swimming
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Medium,Yes,With others,Yes,High,None,High,Yes,Gymnastics,Medium,Good,Analytical,Coding
12,Yes,both,Football,Low,Team,Medium,1-2 days,Yes,Other,High,Yes,Low,Structured,Traditional,Yes,Other,No,No,Individual,No,Yes,No,None,None,None,None,None,None,None,Low,No,Yoga,High,Good,Arts,Drawing
17,Yes,outdoor,Cricket,High,Individual,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Meditation,High,Poor,Sports,Cricket
7,Yes,indoor,Badminton,Low,Individual,Low,1-2 days,Yes,Other,High,No,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Swimming,Medium,Poor,Arts,Drawing
17,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Yoga,High,Average,Arts,Drawing
11,No,None,None,None,None,None,None,Yes,Other,High,Yes,High,Free,Both,No,None,None,None,None,None,None,Yes,Coding,Low,No,With others,No,Medium,None,Low,Yes,Swimming,Medium,Average,Arts,Drawing
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Meditation,Medium,Average,Health,Meditation
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Puzzles,Medium,Yes,Alone,Yes,High,Joint Pain,Medium,No,Yoga,Medium,Poor,Analytical,Chess
10,Yes,outdoor,Other,Medium,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,No,Yoga,Medium,Good,Sports,Cricket
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Individual,Yes,No,No,None,None,None,None,None,None,Other,Medium,Yes,Meditation,Medium,Good,Academics,Math Olympiad
17,Yes,indoor,Table Tennis,Medium,Individual,Low,1-2 days,Yes,Music,High,Yes,Low,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,Medium,Good,Arts,Music
16,Yes,indoor,Carrom,Low,Team,High,1-2 days,Yes,Other,High,Yes,Low,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Gymnastics,Medium,Poor,Arts,Drawing
16,Yes,both,Cricket,Low,Individual,Low,1-2 days,Yes,Drawing,High,Yes,High,Free,Both,Yes,Science,No,No,Individual,No,Yes,No,None,None,None,None,None,None,None,Medium,No,Other,Low,Average,Arts,Drawing
15,Yes,outdoor,Other,High,Individual,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Swimming,Medium,Good,Sports,Cricket
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Yoga,Medium,Good,Health,Yoga
12,Yes,indoor,Carrom,Low,Individual,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Low,No,Running,High,Good,Academics,Math Olympiad
5,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,Medium,Poor,Arts,Dance
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Yoga,Medium,Average,Health,Yoga
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,No,Yes,Group,No,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Other,Medium,Good,Academics,Creative Writing
16,Yes,both,Basketball,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Meditation,Low,Average,Sports,Basketball
14,Yes,outdoor,Other,High,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Swimming,Low,Good,Sports,Cricket
12,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Free,Both,No,None,None,None,None,None,None,Yes,Other,Low,Yes,Alone,Yes,High,None,High,Yes,Other,Medium,Good,Arts,Dance
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,Yes,Individual,No,No,No,None,None,None,None,None,None,None,High,No,Gymnastics,Low,Average,Academics,Science Club
15,Yes,outdoor,Football,Medium,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Swimming,High,Poor,Sports,Football
13,Yes,outdoor,Other,Low,Team,Low,1-2 days,Yes,Music,Medium,No,Medium,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Other,High,Average,Arts,Music
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,High,Yes,Other,High,Poor,Academics,Creative Writing
15,Yes,both,Badminton,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,No,Gymnastics,Medium,Poor,Sports,Badminton
12,Yes,both,Cricket,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Medium,Yes,Running,Low,Good,Sports,Cricket
10,Yes,indoor,Chess,Medium,Individual,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,No,Yoga,Medium,Poor,Sports,Chess
10,No,None,None,None,None,None,None,Yes,Dance,Medium,No,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,High,Yes,Meditation,High,Poor,Arts,Dance
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,Alone,No,Medium,Asthma,Low,No,Yoga,Low,Average,Analytical,Coding
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,Low,Average,Health,Swimming
13,Yes,both,Table Tennis,Low,Team,Medium,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,High,No,With others,Yes,Medium,None,Medium,No,Swimming,Medium,Good,Analytical,Robotics
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,High,Yes,Alone,No,Low,Other,High,No,Yoga,High,Good,Analytical,Coding
10,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Gymnastics,Low,Average,Arts,Music
5,Yes,outdoor,Cricket,Medium,Individual,Low,1-2 days,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,Other,Low,Yes,Swimming,High,Poor,Academics,Math Olympiad
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,Medium,Good,Health,Running
6,No,None,None,None,None,None,None,Yes,Music,High,No,Low,Structured,Traditional,No,None,None,None,None,None,None,Yes,Coding,Low,No,Alone,No,Medium,Joint Pain,Medium,Yes,Other,High,Poor,Arts,Music
17,No,None,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,Yes,Other,High,Good,Arts,Music
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,No,No,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Yoga,High,Average,Academics,Science Club
5,No,None,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,Both,No,None,None,None,None,None,None,Yes,Other,Low,No,With others,No,Low,Other,Medium,Yes,Yoga,High,Poor,Arts,Music
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,No,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,No,Other,Low,Poor,Academics,Creative Writing
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Low,Yes,Alone,Yes,Medium,None,Medium,Yes,Meditation,High,Good,Analytical,Coding
5,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,No,Swimming,Low,Average,Arts,Dance
9,Yes,outdoor,Other,Medium,Individual,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Running,High,Average,Sports,Cricket
7,Yes,outdoor,Athletics,Medium,Team,High,5+ days,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,No,No,None,None,None,None,None,None,None,Medium,Yes,Meditation,Low,Poor,Sports,Athletics
16,Yes,indoor,Carrom,High,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Running,Medium,Average,Sports,Carrom
6,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,High,Yes,Other,Low,Good,Academics,Math Olympiad
6,No,None,None,None,None,None,None,Yes,Dance,Medium,No,Medium,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Meditation,Medium,Good,Health,Meditation
7,Yes,both,Cricket,High,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Other,Medium,Average,Sports,Cricket
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Joint Pain,High,No,Swimming,Low,Poor,Academics,Math Olympiad
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Health,Yoga
12,No,None,None,None,None,None,None,Yes,Music,Medium,Yes,Medium,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Other,Medium,Average,Arts,Music
15,Yes,indoor,Table Tennis,Low,Individual,Low,1-2 days,Yes,Drawing,Medium,Yes,Medium,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,Medium,Good,Arts,Drawing
14,No,None,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Gymnastics,Low,Good,Arts,Dance
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,No,With others,No,Low,None,Medium,Yes,Swimming,Medium,Poor,Analytical,Robotics
12,Yes,outdoor,Other,High,Team,Medium,3-4 days,No,None,None,None,None,None,None,Yes,Other,No,No,Individual,No,Yes,No,None,None,None,None,None,None,Joint Pain,Medium,No,Yoga,Low,Poor,Sports,Cricket
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Low,Yes,Gymnastics,Medium,Poor,Academics,Math Olympiad
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,Alone,Yes,Low,Asthma,Low,No,Swimming,Medium,Good,Analytical,Coding
13,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Gymnastics,Medium,Poor,Arts,Music
7,Yes,both,Table Tennis,High,Team,High,1-2 days,No,None,None,None,None,None,None,Yes,Math,Yes,No,Individual,Yes,No,No,None,None,None,None,None,None,Asthma,High,Yes,Meditation,Low,Poor,Sports,Table Tennis
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,No,Group,Yes,Yes,No,None,None,None,None,None,None,Asthma,Low,No,Meditation,Low,Good,Academics,Math Olympiad
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Meditation,High,Average,Health,Meditation
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,Low,Yes,Running,Low,Poor,Academics,Math Olympiad
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,No,Individual,Yes,Yes,No,None,None,None,None,None,None,None,High,No,Meditation,High,Poor,Academics,Math Olympiad
9,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Other,Medium,Good,Arts,Drawing
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Other,High,Yes,Running,Medium,Average,Academics,Math Olympiad
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,No,Individual,No,No,Yes,Coding,Medium,Yes,With others,Yes,Medium,Other,Low,No,Other,Medium,Poor,Analytical,Coding
7,No,None,None,None,None,None,None,Yes,Music,Low,No,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Low,No,Gymnastics,Low,Poor,Arts,Music
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,Yes,Swimming,Medium,Good,Health,Swimming
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Individual,No,Yes,No,None,None,None,None,None,None,Asthma,Medium,No,Swimming,Low,Good,Academics,Math Olympiad
13,Yes,indoor,Other,Medium,Team,Medium,5+ days,Yes,Drawing,Medium,No,Low,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,No,Swimming,High,Poor,Sports,Cricket
11,Yes,outdoor,Cricket,Medium,Team,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Running,Medium,Average,Sports,Cricket
