sport_type,sport_activity_level,sport_play_style,favorite_sport,art_type,art_creativity,art_performance,art_learning,acad_subject,acad_problem_solving,acad_curiosity,acad_study_type,analy_interest,analy_logic,analy_challenge,analy_work_style,health_activity_type,health_energy,health_outdoor,health_activity,category,hobby
outdoor,Low,Individual,Football,Dance,Low,No,Free,Science,No,Yes,Group,Coding,Medium,Yes,Alone,Relaxation,High,Yes,Running,Analytical,Coding
outdoor,Medium,Team,Chess,Dance,Low,No,Structured,Math,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,High,Team,Badminton,Music,Low,No,Structured,Language,No,No,Group,Coding,Low,Yes,With others,Relaxation,High,Yes,Running,Health,Running
outdoor,High,Individual,Football,Dance,Low,No,Free,Science,Yes,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Yoga,Sports,Swimming
outdoor,Medium,Team,Football,Drawing,Medium,No,Free,Language,No,No,Group,Logical Games,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Chess,Dance,Low,Yes,Structured,Math,Yes,Yes,Individual,Puzzles,Medium,Yes,Alone,Physical,High,No,Gymnastics,Academics,Math Olympiad
outdoor,Low,Individual,Badminton,Drawing,Low,No,Structured,Science,No,Yes,Group,Puzzles,Medium,No,Alone,Relaxation,Low,No,Gymnastics,Academics,Science Club
outdoor,High,Individual,Badminton,Dance,Low,No,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Medium,No,Yoga,Sports,Badminton
outdoor,Low,Individual,Badminton,Drawing,High,No,Structured,Science,No,No,Group,Logical Games,Low,Yes,Alone,Physical,Medium,No,Running,Arts,Drawing
indoor,Low,Team,Table Tennis,Dance,High,No,Free,Science,Yes,Yes,Individual,Coding,High,Yes,Alone,Relaxation,Low,No,Meditation,Analytical,Coding
indoor,Low,Individual,Football,Drawing,Medium,No,Structured,Language,Yes,Yes,Individual,Logical Games,Low,No,Alone,Physical,Medium,Yes,Running,Academics,Creative Writing
outdoor,Low,Individual,Table Tennis,Drawing,Low,No,Structured,Science,Yes,Yes,Group,Puzzles,Medium,No,With others,Physical,Low,Yes,Gymnastics,Academics,Science Club
outdoor,High,Individual,Table Tennis,Music,Low,No,Free,Science,No,No,Group,Puzzles,Low,No,Alone,Physical,Low,Yes,Running,Sports,Swimming
outdoor,Low,Individual,Badminton,Dance,Low,No,Structured,Math,Yes,Yes,Individual,Puzzles,Medium,Yes,Alone,Physical,Low,No,Gymnastics,Academics,Math Olympiad
indoor,High,Individual,Badminton,Music,Low,No,Structured,Language,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Running,Sports,Badminton
outdoor,High,Individual,Table Tennis,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Coding,Low,No,With others,Physical,Low,No,Yoga,Academics,Creative Writing
outdoor,Low,Team,Football,Drawing,Low,No,Free,Science,Yes,Yes,Group,Puzzles,Medium,No,With others,Physical,Low,Yes,Running,Academics,Science Club
outdoor,Low,Team,Football,Music,High,Yes,Structured,Math,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Medium,No,Yoga,Arts,Music
outdoor,Low,Team,Table Tennis,Music,Low,Yes,Free,Math,Yes,Yes,Individual,Coding,Medium,No,Alone,Relaxation,High,Yes,Gymnastics,Academics,Math Olympiad
indoor,High,Individual,Table Tennis,Music,Low,No,Structured,Math,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,No,Running,Sports,Table Tennis
outdoor,Medium,Team,Badminton,Music,Low,No,Structured,Language,No,No,Group,Logical Games,Medium,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,Low,Team,Table Tennis,Drawing,Low,No,Free,Language,No,Yes,Group,Puzzles,Low,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Table Tennis,Music,Low,No,Free,Math,No,No,Group,Coding,High,No,Alone,Physical,Medium,Yes,Gymnastics,Sports,Table Tennis
outdoor,Low,Team,Table Tennis,Music,High,No,Free,Math,No,No,Group,Coding,Low,Yes,Alone,Physical,Low,No,Gymnastics,Arts,Music
outdoor,High,Team,Cricket,Dance,Low,No,Structured,Science,Yes,No,Individual,Coding,Medium,No,With others,Relaxation,Medium,No,Gymnastics,Sports,Cricket
indoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Language,No,Yes,Individual,Logical Games,Low,No,Alone,Physical,Medium,No,Running,Arts,Drawing
outdoor,High,Team,Football,Drawing,Low,No,Structured,Language,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Football
indoor,Medium,Individual,Cricket,Dance,High,Yes,Free,Science,No,No,Individual,Logical Games,Low,No,Alone,Physical,Low,No,Running,Arts,Dance
outdoor,High,Individual,Table Tennis,Dance,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,High,Yes,Gymnastics,Sports,Swimming
indoor,High,Team,Badminton,Dance,Low,No,Structured,Language,No,No,Individual,Coding,Low,No,Alone,Relaxation,Low,No,Running,Sports,Badminton
indoor,Medium,Individual,Table Tennis,Music,Medium,No,Structured,Language,No,No,Individual,Puzzles,Low,Yes,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Low,Team,Table Tennis,Music,High,Yes,Structured,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,No,Meditation,Arts,Music
outdoor,High,Team,Cricket,Music,Low,No,Free,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Low,Yes,Gymnastics,Sports,Cricket
outdoor,High,Team,Cricket,Music,Medium,No,Structured,Science,Yes,No,Group,Coding,Low,No,Alone,Relaxation,Medium,Yes,Gymnastics,Sports,Cricket
indoor,High,Individual,Football,Music,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,With others,Physical,High,Yes,Running,Health,Running
indoor,Low,Individual,Badminton,Dance,Low,Yes,Free,Language,Yes,Yes,Individual,Coding,High,Yes,With others,Relaxation,Low,Yes,Yoga,Academics,Creative Writing
indoor,Low,Team,Badminton,Drawing,Medium,No,Free,Math,No,No,Individual,Logical Games,High,Yes,Alone,Relaxation,Medium,No,Gymnastics,Analytical,Chess
indoor,High,Individual,Badminton,Dance,Medium,No,Structured,Science,Yes,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,High,No,Gymnastics,Analytical,Chess
outdoor,Low,Individual,Table Tennis,Dance,Low,No,Free,Language,No,Yes,Group,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Yoga,Health,Yoga
indoor,Low,Individual,Chess,Dance,Low,No,Free,Language,Yes,Yes,Individual,Coding,Low,No,Alone,Relaxation,Low,No,Running,Academics,Creative Writing
outdoor,Low,Individual,Table Tennis,Music,High,Yes,Structured,Language,No,No,Individual,Coding,Low,No,Alone,Relaxation,Medium,Yes,Yoga,Arts,Music
outdoor,High,Individual,Badminton,Drawing,Low,No,Free,Science,No,No,Group,Coding,Medium,No,Alone,Physical,Medium,No,Running,Sports,Badminton
outdoor,Low,Individual,Football,Music,High,No,Structured,Science,No,No,Group,Coding,Low,Yes,Alone,Relaxation,High,No,Meditation,Arts,Music
outdoor,Low,Individual,Football,Music,High,No,Free,Science,Yes,Yes,Individual,Coding,High,Yes,Alone,Relaxation,Medium,No,Meditation,Analytical,Coding
outdoor,Low,Individual,Cricket,Dance,High,Yes,Structured,Math,No,No,Group,Logical Games,Low,No,With others,Relaxation,Medium,No,Meditation,Arts,Dance
indoor,Low,Individual,Badminton,Drawing,Medium,No,Structured,Language,No,No,Individual,Coding,High,Yes,Alone,Physical,High,No,Yoga,Analytical,Coding
outdoor,Medium,Individual,Football,Drawing,Low,No,Structured,Math,No,No,Individual,Puzzles,Low,No,Alone,Physical,High,Yes,Yoga,Sports,Football
outdoor,Low,Individual,Badminton,Music,High,No,Free,Science,Yes,Yes,Group,Puzzles,Medium,Yes,With others,Relaxation,Medium,Yes,Gymnastics,Academics,Science Club
outdoor,High,Individual,Badminton,Music,Low,No,Free,Math,Yes,No,Group,Logical Games,Low,No,With others,Relaxation,High,Yes,Yoga,Sports,Badminton
indoor,Low,Team,Badminton,Music,Low,No,Free,Language,No,Yes,Group,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,High,Team,Table Tennis,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Low,No,Alone,Relaxation,High,No,Running,Sports,Table Tennis
outdoor,Low,Individual,Table Tennis,Dance,High,Yes,Free,Science,Yes,No,Group,Logical Games,Low,No,With others,Relaxation,Low,No,Meditation,Arts,Dance
indoor,Medium,Individual,Football,Music,Low,No,Free,Science,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,Yes,Yoga,Health,Yoga
outdoor,Low,Team,Football,Music,High,Yes,Structured,Math,No,No,Individual,Logical Games,Low,No,With others,Physical,Low,No,Meditation,Arts,Music
outdoor,Medium,Team,Cricket,Music,Medium,No,Free,Language,No,Yes,Individual,Coding,Low,No,Alone,Relaxation,Medium,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Team,Table Tennis,Music,Medium,No,Structured,Language,Yes,No,Group,Coding,High,Yes,Alone,Physical,Medium,Yes,Running,Analytical,Coding
outdoor,High,Individual,Cricket,Drawing,Low,No,Free,Science,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Medium,Yes,Meditation,Sports,Swimming
outdoor,Low,Team,Table Tennis,Music,Medium,No,Free,Language,No,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,Low,No,Running,Analytical,Chess
outdoor,Low,Team,Football,Dance,Low,No,Free,Math,No,No,Group,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Badminton,Drawing,Low,No,Free,Math,No,No,Group,Logical Games,Low,Yes,With others,Relaxation,Low,Yes,Yoga,Sports,Badminton
outdoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Language,No,No,Group,Coding,Low,No,With others,Relaxation,High,Yes,Meditation,Arts,Drawing
outdoor,Low,Team,Football,Drawing,Low,No,Free,Science,Yes,Yes,Group,Coding,High,Yes,Alone,Relaxation,Medium,No,Meditation,Academics,Science Club
outdoor,Low,Individual,Table Tennis,Drawing,Low,No,Structured,Math,Yes,Yes,Individual,Logical Games,Low,Yes,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Medium,Team,Football,Dance,Low,No,Free,Math,No,No,Group,Logical Games,High,Yes,Alone,Physical,Medium,No,Running,Analytical,Chess
outdoor,Low,Team,Table Tennis,Dance,Low,No,Free,Math,Yes,No,Individual,Coding,High,Yes,Alone,Relaxation,Medium,Yes,Gymnastics,Analytical,Robotics
indoor,Medium,Individual,Table Tennis,Dance,Low,No,Structured,Math,No,No,Group,Logical Games,Medium,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,Low,Team,Chess,Music,Low,No,Structured,Math,Yes,Yes,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Academics,Math Olympiad
outdoor,Low,Individual,Table Tennis,Drawing,Low,No,Structured,Science,No,Yes,Individual,Coding,High,Yes,Alone,Physical,Low,Yes,Meditation,Analytical,Coding
indoor,High,Team,Table Tennis,Music,Low,No,Structured,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Meditation,Sports,Table Tennis
outdoor,Medium,Individual,Chess,Music,Low,No,Free,Math,Yes,No,Group,Coding,Low,No,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
outdoor,High,Individual,Badminton,Music,Low,No,Structured,Math,No,Yes,Individual,Puzzles,Low,No,Alone,Relaxation,High,No,Gymnastics,Sports,Swimming
indoor,High,Individual,Cricket,Dance,High,No,Structured,Math,No,No,Group,Coding,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,Low,Team,Badminton,Drawing,High,Yes,Free,Language,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Yoga,Arts,Drawing
outdoor,High,Team,Chess,Dance,Low,No,Free,Language,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Low,Individual,Chess,Dance,Medium,No,Free,Science,Yes,No,Group,Logical Games,High,Yes,With others,Physical,High,Yes,Running,Analytical,Robotics
outdoor,High,Team,Cricket,Dance,Low,No,Free,Science,No,No,Group,Logical Games,Low,No,Alone,Physical,Medium,No,Meditation,Sports,Cricket
outdoor,Low,Team,Football,Dance,Low,No,Free,Language,Yes,Yes,Individual,Logical Games,Medium,Yes,Alone,Physical,Medium,No,Meditation,Academics,Creative Writing
outdoor,Low,Individual,Chess,Music,Medium,No,Free,Language,Yes,Yes,Group,Coding,High,Yes,Alone,Physical,High,No,Running,Academics,Creative Writing
outdoor,Medium,Team,Chess,Dance,High,Yes,Structured,Science,No,No,Group,Logical Games,Low,No,With others,Physical,Medium,No,Gymnastics,Arts,Dance
outdoor,Low,Team,Badminton,Drawing,Medium,No,Free,Science,No,Yes,Group,Logical Games,High,Yes,Alone,Relaxation,Low,No,Meditation,Analytical,Chess
indoor,Medium,Team,Chess,Music,Low,No,Structured,Language,No,Yes,Individual,Coding,Medium,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,High,Team,Badminton,Music,Low,No,Free,Math,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Medium,No,Gymnastics,Sports,Badminton
outdoor,High,Team,Football,Drawing,Low,No,Free,Math,No,No,Group,Logical Games,Low,No,With others,Relaxation,Low,Yes,Gymnastics,Sports,Swimming
indoor,Low,Team,Table Tennis,Dance,Low,No,Structured,Math,No,Yes,Individual,Logical Games,High,Yes,With others,Relaxation,Medium,No,Yoga,Analytical,Chess
outdoor,High,Individual,Football,Drawing,Low,No,Free,Language,No,Yes,Individual,Coding,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Team,Chess,Dance,Medium,Yes,Free,Math,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Running,Arts,Dance
outdoor,Low,Individual,Football,Dance,Medium,No,Structured,Math,Yes,Yes,Individual,Puzzles,Medium,No,With others,Relaxation,Low,No,Meditation,Academics,Math Olympiad
outdoor,Low,Individual,Cricket,Drawing,Medium,No,Structured,Language,Yes,Yes,Individual,Puzzles,Low,No,With others,Physical,Low,Yes,Yoga,Academics,Creative Writing
outdoor,High,Team,Table Tennis,Drawing,Low,No,Free,Science,No,No,Group,Coding,Low,No,With others,Physical,High,Yes,Running,Health,Running
indoor,Medium,Individual,Cricket,Music,Low,No,Free,Language,No,No,Group,Coding,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Individual,Badminton,Drawing,Low,No,Structured,Math,No,Yes,Individual,Coding,High,Yes,With others,Relaxation,Low,No,Running,Analytical,Robotics
indoor,High,Individual,Table Tennis,Drawing,Low,No,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Physical,Medium,Yes,Meditation,Sports,Table Tennis
outdoor,High,Team,Football,Drawing,Low,No,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,High,Yes,Yoga,Sports,Football
indoor,Medium,Team,Cricket,Drawing,High,No,Structured,Language,Yes,No,Individual,Logical Games,High,No,With others,Physical,Low,No,Running,Analytical,Robotics
outdoor,Medium,Team,Chess,Music,Medium,No,Structured,Language,Yes,No,Individual,Coding,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Individual,Football,Drawing,Medium,No,Free,Math,Yes,No,Individual,Coding,High,Yes,Alone,Physical,Medium,No,Yoga,Analytical,Coding
outdoor,Medium,Individual,Football,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Swimming
outdoor,Low,Individual,Chess,Drawing,High,No,Free,Science,No,No,Individual,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Gymnastics,Arts,Drawing
indoor,Low,Team,Cricket,Dance,Medium,Yes,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,Medium,No,Meditation,Arts,Dance
indoor,High,Individual,Table Tennis,Drawing,High,No,Free,Science,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,Medium,Yes,Meditation,Sports,Table Tennis
outdoor,Low,Team,Table Tennis,Dance,High,Yes,Structured,Science,No,No,Group,Puzzles,Low,No,With others,Relaxation,Low,No,Meditation,Arts,Dance
outdoor,High,Individual,Badminton,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Medium,No,Alone,Relaxation,High,Yes,Yoga,Sports,Swimming
outdoor,Medium,Team,Football,Drawing,Medium,Yes,Structured,Science,No,No,Individual,Logical Games,Low,No,With others,Physical,High,Yes,Yoga,Health,Yoga
outdoor,High,Team,Cricket,Music,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,Low,No,Meditation,Sports,Cricket
indoor,Medium,Individual,Table Tennis,Dance,Low,No,Structured,Math,Yes,Yes,Individual,Coding,Medium,No,With others,Physical,High,No,Meditation,Academics,Math Olympiad
indoor,Low,Individual,Football,Music,Medium,No,Free,Science,Yes,Yes,Group,Puzzles,High,Yes,Alone,Physical,High,Yes,Running,Academics,Science Club
outdoor,Medium,Team,Badminton,Music,Low,No,Structured,Math,No,Yes,Group,Coding,Low,No,Alone,Physical,Medium,Yes,Yoga,Health,Yoga
outdoor,Medium,Individual,Badminton,Music,Medium,No,Free,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Medium,No,Yoga,Health,Yoga
indoor,Low,Individual,Badminton,Drawing,High,No,Free,Math,Yes,Yes,Individual,Puzzles,Low,No,Alone,Physical,Medium,Yes,Running,Academics,Math Olympiad
outdoor,High,Team,Football,Drawing,Low,No,Free,Science,No,No,Individual,Logical Games,Low,No,With others,Physical,Low,Yes,Yoga,Sports,Football
indoor,Medium,Individual,Badminton,Drawing,High,No,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Medium,Individual,Football,Music,High,Yes,Free,Science,No,No,Group,Coding,Low,No,Alone,Physical,Low,Yes,Gymnastics,Arts,Music
indoor,Medium,Individual,Cricket,Music,Low,No,Free,Language,No,No,Group,Coding,Low,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,Low,Individual,Football,Drawing,Low,No,Free,Science,No,Yes,Individual,Logical Games,High,Yes,With others,Physical,Low,No,Yoga,Analytical,Robotics
outdoor,Low,Team,Cricket,Drawing,Low,No,Structured,Language,No,No,Individual,Coding,High,Yes,Alone,Relaxation,Low,Yes,Gymnastics,Analytical,Coding
indoor,Low,Team,Football,Drawing,High,Yes,Free,Language,No,No,Individual,Coding,Low,No,Alone,Physical,Medium,No,Yoga,Arts,Drawing
indoor,Medium,Individual,Badminton,Music,High,No,Structured,Math,Yes,Yes,Individual,Coding,High,Yes,With others,Physical,High,Yes,Meditation,Analytical,Robotics
outdoor,High,Individual,Badminton,Dance,Low,Yes,Free,Math,No,No,Group,Coding,Medium,No,Alone,Physical,High,Yes,Yoga,Sports,Badminton
outdoor,High,Team,Football,Drawing,High,No,Free,Science,No,No,Group,Puzzles,Low,Yes,With others,Relaxation,Medium,Yes,Running,Sports,Football
outdoor,High,Team,Cricket,Drawing,Low,No,Free,Math,No,No,Group,Coding,Low,No,With others,Physical,Low,No,Gymnastics,Sports,Cricket
outdoor,High,Team,Badminton,Drawing,Low,No,Free,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,High,Yes,Yoga,Sports,Swimming
indoor,Medium,Team,Cricket,Dance,Low,No,Free,Science,No,No,Individual,Coding,Medium,Yes,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Medium,Team,Chess,Dance,High,No,Structured,Math,No,Yes,Group,Coding,Low,No,With others,Physical,Medium,Yes,Gymnastics,Arts,Dance
indoor,Low,Individual,Football,Music,Low,No,Structured,Math,Yes,Yes,Individual,Puzzles,Medium,Yes,With others,Relaxation,Low,Yes,Meditation,Academics,Math Olympiad
indoor,High,Team,Table Tennis,Music,Low,No,Structured,Math,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,No,Meditation,Sports,Table Tennis
indoor,Medium,Team,Table Tennis,Music,Medium,No,Free,Math,Yes,No,Group,Puzzles,Low,No,With others,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,Low,Team,Table Tennis,Music,High,No,Free,Language,No,No,Individual,Coding,High,Yes,Alone,Physical,Low,No,Meditation,Analytical,Coding
outdoor,Low,Individual,Football,Drawing,High,No,Free,Language,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,Low,No,Gymnastics,Arts,Drawing
outdoor,Low,Individual,Badminton,Drawing,Low,No,Structured,Science,Yes,Yes,Individual,Logical Games,Low,No,With others,Physical,Low,Yes,Gymnastics,Academics,Science Club
outdoor,High,Team,Football,Music,Low,No,Free,Math,No,No,Individual,Coding,Low,No,Alone,Physical,High,Yes,Running,Sports,Football
indoor,Low,Individual,Football,Dance,Low,Yes,Structured,Science,Yes,Yes,Group,Coding,High,Yes,Alone,Relaxation,High,No,Yoga,Analytical,Coding
indoor,Low,Individual,Table Tennis,Music,High,Yes,Structured,Language,Yes,No,Individual,Logical Games,Low,No,With others,Relaxation,Low,No,Gymnastics,Arts,Music
indoor,High,Individual,Table Tennis,Music,Medium,No,Free,Science,No,No,Individual,Puzzles,Low,No,With others,Relaxation,High,No,Running,Sports,Table Tennis
indoor,Low,Team,Badminton,Drawing,Low,Yes,Structured,Language,Yes,Yes,Group,Coding,High,Yes,Alone,Relaxation,Medium,No,Yoga,Analytical,Coding
indoor,Low,Individual,Table Tennis,Drawing,Low,No,Structured,Math,No,Yes,Group,Puzzles,High,Yes,Alone,Relaxation,Medium,Yes,Yoga,Analytical,Chess
outdoor,High,Team,Football,Music,Low,No,Structured,Math,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Yoga,Sports,Football
outdoor,Low,Team,Cricket,Music,High,No,Free,Language,Yes,Yes,Individual,Puzzles,High,Yes,Alone,Physical,High,No,Yoga,Academics,Creative Writing
outdoor,Low,Team,Table Tennis,Music,High,Yes,Structured,Math,No,No,Group,Logical Games,Medium,Yes,Alone,Relaxation,Low,Yes,Meditation,Arts,Music
indoor,Medium,Team,Cricket,Drawing,Low,No,Structured,Science,No,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,Low,No,Running,Analytical,Chess
outdoor,High,Team,Cricket,Drawing,Low,No,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,High,Team,Cricket,Drawing,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Yoga,Health,Yoga
outdoor,Low,Team,Cricket,Drawing,High,No,Free,Science,No,No,Individual,Logical Games,Low,No,With others,Physical,Medium,Yes,Running,Arts,Drawing
outdoor,Low,Team,Table Tennis,Dance,High,Yes,Structured,Language,No,No,Group,Puzzles,High,No,With others,Relaxation,Low,Yes,Meditation,Arts,Dance
indoor,High,Individual,Badminton,Drawing,Low,No,Structured,Language,No,No,Individual,Logical Games,Low,No,With others,Physical,Low,Yes,Gymnastics,Sports,Badminton
outdoor,High,Individual,Cricket,Drawing,Low,No,Structured,Math,No,No,Group,Puzzles,Low,No,With others,Relaxation,Low,Yes,Meditation,Health,Meditation
indoor,High,Individual,Table Tennis,Music,Low,No,Structured,Math,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,No,Gymnastics,Sports,Table Tennis
outdoor,Medium,Individual,Football,Music,Low,Yes,Structured,Language,No,No,Group,Coding,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Team,Cricket,Dance,Low,No,Structured,Math,No,No,Group,Logical Games,Low,Yes,With others,Physical,High,Yes,Running,Health,Running
outdoor,Low,Individual,Cricket,Drawing,High,Yes,Free,Language,No,No,Individual,Logical Games,Low,No,With others,Relaxation,High,Yes,Meditation,Arts,Drawing
indoor,Low,Team,Chess,Dance,High,No,Structured,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,No,Gymnastics,Arts,Dance
outdoor,Medium,Individual,Table Tennis,Dance,Low,No,Free,Language,No,No,Group,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,Low,Team,Cricket,Dance,Low,No,Structured,Science,Yes,Yes,Group,Puzzles,High,No,Alone,Physical,Medium,No,Running,Academics,Science Club
outdoor,High,Individual,Cricket,Music,Low,No,Structured,Science,No,No,Group,Coding,Low,No,Alone,Relaxation,Medium,No,Running,Sports,Cricket
indoor,Low,Team,Table Tennis,Dance,High,Yes,Structured,Science,No,No,Individual,Coding,Low,No,With others,Relaxation,High,No,Meditation,Arts,Dance
outdoor,Low,Individual,Cricket,Dance,Medium,No,Free,Science,Yes,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,High,Yes,Running,Academics,Science Club
outdoor,Low,Team,Chess,Drawing,Low,No,Free,Math,Yes,Yes,Group,Logical Games,High,Yes,With others,Physical,Medium,No,Gymnastics,Analytical,Chess
indoor,High,Team,Table Tennis,Dance,Low,No,Free,Science,No,No,Individual,Coding,Low,Yes,Alone,Physical,High,No,Running,Sports,Table Tennis
outdoor,Low,Team,Football,Music,Medium,No,Free,Language,Yes,Yes,Individual,Coding,Medium,Yes,Alone,Relaxation,Medium,Yes,Meditation,Academics,Creative Writing
outdoor,Low,Team,Cricket,Dance,High,Yes,Free,Science,No,No,Group,Coding,Low,No,Alone,Relaxation,High,Yes,Yoga,Arts,Dance
outdoor,Low,Individual,Football,Dance,Medium,No,Free,Science,Yes,No,Group,Logical Games,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,High,Team,Cricket,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Cricket
indoor,Medium,Individual,Table Tennis,Drawing,Low,No,Structured,Science,No,No,Group,Coding,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Table Tennis
outdoor,Medium,Team,Table Tennis,Drawing,Low,No,Structured,Language,No,Yes,Individual,Coding,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,Medium,Team,Football,Music,Low,No,Structured,Math,No,Yes,Group,Puzzles,Low,No,With others,Relaxation,Medium,Yes,Meditation,Health,Meditation
outdoor,Low,Individual,Chess,Drawing,Low,No,Free,Math,Yes,Yes,Individual,Logical Games,Medium,Yes,Alone,Relaxation,Medium,Yes,Yoga,Academics,Math Olympiad
outdoor,High,Team,Badminton,Drawing,Low,Yes,Structured,Science,No,No,Individual,Coding,Medium,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,Low,Individual,Chess,Dance,Low,No,Structured,Math,No,No,Individual,Logical Games,High,Yes,With others,Relaxation,High,Yes,Running,Analytical,Robotics
outdoor,Medium,Individual,Table Tennis,Drawing,Low,No,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Low,Team,Cricket,Music,Medium,No,Free,Science,Yes,No,Individual,Coding,High,Yes,Alone,Physical,Medium,No,Gymnastics,Analytical,Coding
indoor,High,Individual,Table Tennis,Dance,Low,No,Free,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,Medium,No,Running,Sports,Table Tennis
outdoor,Low,Team,Chess,Dance,High,No,Structured,Science,No,No,Individual,Coding,Low,No,Alone,Physical,Medium,No,Running,Arts,Dance
indoor,Medium,Team,Table Tennis,Dance,Low,No,Free,Language,Yes,No,Group,Logical Games,Low,Yes,Alone,Physical,High,Yes,Running,Health,Running
indoor,Medium,Team,Football,Music,Low,No,Structured,Language,No,No,Group,Logical Games,Low,No,Alone,Physical,Medium,No,Running,Health,Running
